cantica,word,n,tf,idf,tf_idf
paradiso,cristo,35,0.00192180979573907,0.405465108108164,0.000779226816592673
inferno,bolgia,11,0.000581303176029171,1.09861228866811,0.000638626812627449
inferno,rena,9,0.000475611689478413,1.09861228866811,0.000522512846695185
paradiso,letizia,22,0.00120799472875027,0.405465108108164,0.000489799713286823
paradiso,ridere,22,0.00120799472875027,0.405465108108164,0.000489799713286823
purgatorio,stazio,8,0.000423998304006784,1.09861228866811,0.00046580974715629
paradiso,allegrezza,7,0.000384361959147815,1.09861228866811,0.000422264771616339
paradiso,interno,7,0.000384361959147815,1.09861228866811,0.000422264771616339
paradiso,parvenza,7,0.000384361959147815,1.09861228866811,0.000422264771616339
inferno,fiera,19,0.0010040691222322,0.405465108108164,0.00040711499519395
inferno,argine,7,0.000369920202927654,1.09861228866811,0.000406398880762922
inferno,pozzo,7,0.000369920202927654,1.09861228866811,0.000406398880762922
inferno,suolo,7,0.000369920202927654,1.09861228866811,0.000406398880762922
paradiso,fulgore,6,0.000329453107840984,1.09861228866811,0.000361941232814005
paradiso,numero,6,0.000329453107840984,1.09861228866811,0.000361941232814005
paradiso,quieto,6,0.000329453107840984,1.09861228866811,0.000361941232814005
paradiso,risplendere,6,0.000329453107840984,1.09861228866811,0.000361941232814005
paradiso,sincero,6,0.000329453107840984,1.09861228866811,0.000361941232814005
paradiso,triunfo,6,0.000329453107840984,1.09861228866811,0.000361941232814005
paradiso,trono,6,0.000329453107840984,1.09861228866811,0.000361941232814005
purgatorio,sordello,6,0.000317998728005088,1.09861228866811,0.000349357310367217
inferno,branca,6,0.000317074459652275,1.09861228866811,0.00034834189779679
inferno,stanca,6,0.000317074459652275,1.09861228866811,0.00034834189779679
purgatorio,libero,16,0.000847996608013568,0.405465108108164,0.000343833036343578
inferno,scoglio,16,0.000845531892406067,0.405465108108164,0.000342833680163327
paradiso,mortal,15,0.00082363276960246,0.405465108108164,0.000333954349968288
paradiso,innamorare,5,0.000274544256534153,1.09861228866811,0.000301617694011671
paradiso,latta,5,0.000274544256534153,1.09861228866811,0.000301617694011671
paradiso,latte,5,0.000274544256534153,1.09861228866811,0.000301617694011671
paradiso,mero,5,0.000274544256534153,1.09861228866811,0.000301617694011671
paradiso,penetrare,5,0.000274544256534153,1.09861228866811,0.000301617694011671
paradiso,rai,5,0.000274544256534153,1.09861228866811,0.000301617694011671
paradiso,region,5,0.000274544256534153,1.09861228866811,0.000301617694011671
paradiso,rilevare,5,0.000274544256534153,1.09861228866811,0.000301617694011671
purgatorio,ale,5,0.00026499894000424,1.09861228866811,0.000291131091972681
purgatorio,alzare,5,0.00026499894000424,1.09861228866811,0.000291131091972681
purgatorio,grifon,5,0.00026499894000424,1.09861228866811,0.000291131091972681
purgatorio,parete,5,0.00026499894000424,1.09861228866811,0.000291131091972681
purgatorio,purgare,5,0.00026499894000424,1.09861228866811,0.000291131091972681
purgatorio,spazio,5,0.00026499894000424,1.09861228866811,0.000291131091972681
purgatorio,vos,5,0.00026499894000424,1.09861228866811,0.000291131091972681
inferno,caduto,5,0.000264228716376896,1.09861228866811,0.000290284914830658
inferno,centauro,5,0.000264228716376896,1.09861228866811,0.000290284914830658
inferno,frode,5,0.000264228716376896,1.09861228866811,0.000290284914830658
inferno,ghiacciare,5,0.000264228716376896,1.09861228866811,0.000290284914830658
inferno,giacea,5,0.000264228716376896,1.09861228866811,0.000290284914830658
inferno,selva,13,0.000686994662579929,0.405465108108164,0.000278552365132703
paradiso,maria,12,0.000658906215681968,0.405465108108164,0.000267163479974631
paradiso,paradiso,12,0.000658906215681968,0.405465108108164,0.000267163479974631
paradiso,spiro,12,0.000658906215681968,0.405465108108164,0.000267163479974631
purgatorio,angel,12,0.000635997456010176,0.405465108108164,0.000257874777257684
inferno,doloroso,12,0.00063414891930455,0.405465108108164,0.000257125260122495
paradiso,ardente,11,0.000603997364375137,0.405465108108164,0.000244899856643411
paradiso,moto,11,0.000603997364375137,0.405465108108164,0.000244899856643411
paradiso,accors,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,acume,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,artista,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,bernardo,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,chiarezza,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,chiarire,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,commendare,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,contr,4,0.000219635405227323,1.09861228866811,0.000241294155209337
